Date,Open,High,Low,Close,Volume
2015-06-26,242.60400391,243.74899292,241.55299377,243.59399414,13983500
2015-06-27,243.54899597,251.33900452,243.11700439,250.99000549,20488600
2015-06-28,250.95500183,251.17199707,247.43400574,249.01100159,15137600
2015-06-29,248.72099304,257.17300415,248.58099365,257.06399536,34742900
2015-06-30,257.03601074,267.86700439,255.94599915,263.07199097,44533800
2015-07-01,263.34500122,265.17199707,255.77400208,258.62100220,27029800
2015-07-02,258.55200195,261.63101196,254.11599731,255.41200256,21551900
2015-07-03,255.45899963,257.07699585,253.50500488,256.33599854,19033800
2015-07-04,256.49099731,261.45700073,254.19999695,260.88598633,15620400
2015-07-05,260.80499268,274.50601196,258.70098877,271.91299438,44156100
2015-07-06,271.10800171,277.42199707,267.60000610,269.02999878,49154800
2015-07-07,269.96301270,271.34100342,264.83200073,266.20700073,28857600
2015-07-08,265.98199463,272.97100830,264.38598633,270.78500366,36980200
2015-07-09,270.82699585,272.33499146,267.08599854,269.22799683,40301200
2015-07-10,269.15600586,294.59100342,268.80200195,284.89401245,100390000
2015-07-11,284.88000488,298.50601196,283.52999878,293.11499023,41109900
2015-07-12,293.14001465,314.39401245,292.50500488,310.86700439,56405000
2015-07-13,310.82699585,310.94799805,281.01098633,292.05398560,62053900
2015-07-14,292.03399658,296.14700317,286.63800049,287.46398926,28727200
2015-07-15,288.04501343,293.24798584,285.36700439,285.82901001,27486600
2015-07-16,286.04199219,291.18301392,275.23999023,278.08898926,49482600
2015-07-17,278.09100342,280.27999878,272.04299927,279.47198486,27591400
2015-07-18,279.33099365,282.52700806,274.07501221,274.90100098,25187100
2015-07-19,274.76699829,275.67001343,272.51300049,273.61401367,15332500
2015-07-20,273.49899292,278.98098755,272.95999146,278.98098755,22711400
2015-07-21,278.88198853,280.54699707,275.41900635,275.83300781,22930700
2015-07-22,275.65701294,277.66598511,274.38101196,277.22198486,19389800
2015-07-23,277.34100342,278.11099243,275.71600342,276.04901123,18531300
2015-07-24,276.00500488,289.25299072,275.25399780,288.27801514,37199400
2015-07-25,288.16400146,290.73300171,286.00201416,288.69699097,20662200
2015-07-26,288.64001465,293.05200195,287.70599365,292.68600464,16032300
2015-07-27,292.63900757,297.77398682,287.45001221,293.62399292,30592000
2015-07-28,293.63299561,296.64898682,293.42300415,294.42700195,25453600
2015-07-29,294.48400879,294.53601074,288.77700806,289.58999634,24672600
2015-07-30,289.10299683,290.12600708,286.56799316,287.72198486,21635800
2015-07-31,287.69601440,288.95901489,282.34399414,284.64999390,23629100
2015-08-01,284.68600464,284.93200684,278.11199951,281.60101318,18995000
2015-08-02,280.44900513,283.03201294,277.52899170,282.61401367,17722200
2015-08-03,282.80599976,285.47100830,280.23300171,281.22698975,21474100
2015-08-04,281.22500610,285.71499634,281.22500610,285.21798706,21908700
2015-08-05,284.84698486,285.50100708,281.48800659,281.88198853,20128000
2015-08-06,281.90600586,281.90600586,278.40301514,278.57699585,18792100
2015-08-07,278.74099731,280.39199829,276.36599731,279.58499146,42484800
2015-08-08,279.74200439,279.92800903,260.70999146,260.99700928,58533000
2015-08-09,261.11599731,267.00299072,260.46798706,265.08300781,23789600
2015-08-10,265.47799683,267.03201294,262.59600830,264.47000122,20979400
2015-08-11,264.34201050,270.38598633,264.09399414,270.38598633,25433900
2015-08-12,270.59799194,270.67300415,265.46899414,266.37600708,26815400
2015-08-13,266.18301392,266.23199463,262.84100342,264.07998657,27685500
2015-08-14,264.13198853,267.46600342,261.47799683,265.67999268,27091200
2015-08-15,265.52899170,266.66699219,261.29598999,261.55099487,19321100
2015-08-16,261.86599731,262.44000244,257.04098511,258.50698853,29717000
2015-08-17,258.48999023,260.50500488,257.11700439,257.97601318,21617900
2015-08-18,257.92599487,257.99301147,211.07899475,211.07899475,42147200
2015-08-19,225.67100525,237.40899658,222.76600647,226.68400574,60869200
2015-08-20,226.89900208,237.36500549,226.89900208,235.35000610,32275000
2015-08-21,235.35499573,236.43200684,231.72399902,232.56900024,23173800
2015-08-22,232.66200256,234.95700073,222.70399475,230.38999939,23205900
2015-08-23,230.37600708,232.70500183,225.58000183,228.16900635,18406600
2015-08-24,228.11199951,228.13900757,210.44299316,210.49499512,59220700
